,index,val_loss,val_acc,loss,acc,fit_type,EPOCHS
47,47,1.2360122370862676,0.8299401221161117,0.07386016008642106,0.978592811230414,simple,47
48,48,1.2376937665625247,0.8299401234010022,0.06697378150852464,0.9821856241026324,simple,48
49,49,1.232792590192692,0.8359281472103325,0.08745762625336925,0.9724550861084532,simple,49
0,0,1.0597987950918917,0.6922155697188691,3.459298642952285,0.288473054556968,with_dropout,50
1,1,0.8270773110275497,0.7748502994725804,1.7838616411129158,0.5378742532101933,with_dropout,51
2,2,0.8255885152759667,0.7904191657454668,1.353168378975577,0.6324850300471939,with_dropout,52
3,3,0.8439407320079689,0.7976047876352321,1.1866222055729279,0.6754491023674697,with_dropout,53
4,4,0.7960217423067836,0.8083832307490046,1.0716483857103452,0.6964071851647543,with_dropout,54
5,5,0.8511537671803,0.8011976079312627,0.971600776304028,0.7224550895348281,with_dropout,55
6,6,0.8235453884758636,0.810778439544632,0.9159651065657952,0.7369760483324884,with_dropout,56
7,7,0.8500087829407104,0.7999999997858516,0.8584998683301275,0.7491017956933576,with_dropout,57
8,8,0.8738990613086495,0.8083832356030356,0.8185368390854247,0.7619760476186603,with_dropout,58
9,9,0.8845601188922356,0.7988023947099012,0.7582591423909821,0.7775449101796407,with_dropout,59
10,10,0.8533789461958194,0.8239520965935941,0.7549137515400698,0.7809880238093302,with_dropout,60
11,11,0.8948615491925599,0.8143712572708816,0.7065256954845555,0.79011976119287,with_dropout,61
12,12,0.9052242812282311,0.815568857492801,0.7046931860332717,0.7967065874687925,with_dropout,62
13,13,0.9767939585768534,0.8119760464051526,0.6973766079562866,0.7967065867549645,with_dropout,63
14,14,0.9073534008717823,0.8287425124002787,0.6597613018429922,0.807934131736527,with_dropout,64
15,15,0.9611540780095997,0.8179640725701155,0.6292309516561245,0.8155688599911992,with_dropout,65
16,16,0.971664356757067,0.8239520978071019,0.6180448583500114,0.8142215577428212,with_dropout,66
17,17,0.9986818970320468,0.8215568862989278,0.6250172493254353,0.8146706586826348,with_dropout,67
18,18,1.058982505983935,0.8167664678510792,0.5950025357261389,0.8252994006265423,with_dropout,68
19,19,0.8866141586960433,0.8299401221161117,0.5823877764185389,0.824850299258432,with_dropout,69
20,20,1.117813477401962,0.813173655621306,0.5847811072440204,0.8320359279295642,with_dropout,70
21,21,0.9898985278820563,0.8275449075384769,0.5383604217789131,0.8393712582702408,with_dropout,71
22,22,1.0200250750530266,0.825149698528701,0.5648628596194133,0.8357784428282412,with_dropout,72
23,23,1.0976297073021621,0.8083832340326138,0.5538129382950817,0.8426646694451749,with_dropout,73
24,24,1.062908945423077,0.8179640691437408,0.5403905142790186,0.8429640714993734,with_dropout,74
25,25,1.067996132730724,0.8239520900263758,0.4923059160748642,0.8633233528651163,with_dropout,75
26,26,1.0189917894537577,0.823952093309985,0.5189997120799419,0.8520958081690851,with_dropout,76
27,27,1.0660054616585464,0.8263473060316668,0.4837751350493845,0.8589820362850578,with_dropout,77
28,28,1.0873328240331774,0.8251496969582792,0.4830383912676912,0.8570359279295642,with_dropout,78
29,29,1.0816742996077338,0.8227544929452999,0.5050573658398883,0.8541916154815765,with_dropout,79
30,30,1.1429487502860451,0.8155688607764101,0.4963812063197176,0.8625748511559949,with_dropout,80
31,31,1.1679503279531787,0.8191616751476676,0.48817487114114677,0.8633233527937335,with_dropout,81
32,32,1.2026747686063457,0.8131736503389781,0.4502562799083883,0.8688622758060158,with_dropout,82
33,33,1.2298214571918555,0.8191616734344802,0.4343898100745,0.8739520949517895,with_dropout,83
34,34,1.2669824418505866,0.8143712583416236,0.449234367264602,0.8715568870841386,with_dropout,84
0,0,0.7930945540616612,0.7437125725660495,2.5829710761943976,0.4851796416286937,augmented,85
1,1,0.7301210947379381,0.7820359299282827,1.2509776296729813,0.6865269463933157,augmented,86
2,2,0.7331518565823218,0.8011976010785131,1.0236960212984485,0.7227544915890265,augmented,87
3,3,0.7082465228206384,0.8095808411072828,0.942889935527733,0.744161678181437,augmented,88
4,4,0.7354031886169297,0.8131736512669546,0.9115662697368039,0.7477544923385461,augmented,89
5,5,0.7882387246200424,0.8047904212317781,0.8649076267630754,0.7618263453780534,augmented,90
6,6,0.793700982139496,0.8167664717057508,0.8145351005528502,0.7742514956497146,augmented,91
7,7,0.7867246707220992,0.8263473060316668,0.8105225483992856,0.7767964058293554,augmented,92
8,8,0.8095554659734229,0.8299401174762292,0.7896138715886785,0.776646706729592,augmented,93
9,9,0.8209773627583852,0.8251496989569979,0.738614531441363,0.7901197598365967,augmented,94
10,10,0.865353288836108,0.8239520931672193,0.7619741483184392,0.7914670661537947,augmented,95
11,11,0.8088503203706113,0.8311377236229217,0.7212241689066687,0.7940119737636543,augmented,96
12,12,0.8853943445725355,0.8215568835149982,0.7247434628045487,0.8029940115120596,augmented,97
13,13,0.8712319097476091,0.8359281450688482,0.7268657318132367,0.8031437127889988,augmented,98
14,14,0.8950249220796688,0.8335329344886505,0.7044563959637088,0.8086826350160702,augmented,99
15,15,0.9244474448486717,0.8347305390649213,0.694297852255627,0.8091317366340203,augmented,100
16,16,0.9359359942510457,0.8335329337034397,0.7180915126097417,0.7985029937264448,augmented,101
17,17,0.9503759425557302,0.8335329371298145,0.680718634139278,0.810928143641192,augmented,102
18,18,0.8954870023056418,0.8395209632947773,0.6601384305088462,0.8205089821786937,augmented,103
19,19,0.9422161865126185,0.8359281425704499,0.6827135170826655,0.8133233525795851,augmented,104
20,20,0.9653973259611758,0.8347305415633196,0.6979408410494913,0.8067365259467485,augmented,105
21,21,0.9535864537347577,0.8347305415633196,0.6707335008386366,0.8193113778879543,augmented,106
22,22,0.9517022823859118,0.834730538422476,0.6547331846581248,0.825598802609358,augmented,107
23,23,0.9441118150057193,0.8491017948367638,0.6650793743436921,0.8188622748066565,augmented,108
24,24,0.9536085453219043,0.8383233523654366,0.6772437837532538,0.8173652688900154,augmented,109
25,25,0.9640690352388485,0.8419161685926472,0.6705881007015705,0.8288922159971591,augmented,110
26,26,0.9910719232644863,0.8371257452907677,0.6980384166369181,0.8184131728674837,augmented,111
27,27,0.9744032473085883,0.8359281419280047,0.6316040039330185,0.8338323355434898,augmented,112
28,28,0.9887387777516942,0.8287425148986771,0.6479131018731765,0.8258982050204705,augmented,113
29,29,0.9988837353483645,0.8347305414205539,0.636766913997199,0.83383233504381,augmented,114
30,30,1.0020202740223823,0.8335329338462053,0.6506052669427709,0.8285928142284918,augmented,115
31,31,0.9943856635493433,0.8371257480746972,0.6619590227698494,0.8347305372089683,augmented,116
32,32,0.9984970516430404,0.8323353301979111,0.6349357001037298,0.8342814361263892,augmented,117
33,33,1.0126120630406334,0.831137723908453,0.6526569680360976,0.8360778443113772,augmented,118
34,34,1.065875049979387,0.8263473049609247,0.6297349891396696,0.8327844302811308,augmented,119
35,35,1.0239395472817792,0.8371257504303299,0.6473702627652419,0.8279940137606181,augmented,120
36,36,1.018217163885425,0.8335329364873691,0.6160406377367273,0.8359281436411921,augmented,121
37,37,1.0448989951057348,0.8311377229804764,0.6177524381322775,0.834131735456204,augmented,122
38,38,0.9944038140916539,0.8323353258435597,0.6225034526052946,0.8426646695879405,augmented,123
39,39,1.0171500008977101,0.8311377223380312,0.6301085038367146,0.8407185635166967,augmented,124
40,40,1.021712465289824,0.8371257463615097,0.6069230436208005,0.8410179640004735,augmented,125
41,41,1.0547962498879004,0.8287425128999585,0.60279609446754,0.8441616769322379,augmented,126
42,42,1.051779163811735,0.8347305418488509,0.6272786746236557,0.8392215572431416,augmented,127
43,43,1.042071549853165,0.8359281489235199,0.629076269808822,0.8411676655272524,augmented,128
0,0,0.9285765047558767,0.8467065892533627,0.6115514449552147,0.8345808386088845,fine_tune,129
1,1,0.8946812411982142,0.8514970080581253,0.5526784470873678,0.8492514967204567,fine_tune,130
2,2,0.8779780159453432,0.8479041896180478,0.5199899488848126,0.8526946122060993,fine_tune,131
3,3,0.8464084855810611,0.8479041886900713,0.4939662738385315,0.850149701883693,fine_tune,132
4,4,0.8386283537629479,0.8526946118491853,0.4803306412643301,0.8565868267756023,fine_tune,133
5,5,0.8250388370302623,0.8538922162826904,0.4462170314913738,0.8634730545346608,fine_tune,134
6,6,0.8163843669621887,0.8538922198518307,0.4641001449373668,0.8618263480192173,fine_tune,135
7,7,0.8065780826403709,0.8526946092080213,0.45062852656234526,0.8655688626323631,fine_tune,136
8,8,0.7926716708137603,0.8514970027757975,0.4529369800122912,0.8670658691914496,fine_tune,137
9,9,0.7871129481199972,0.8526946124916305,0.4115177401480917,0.8755988024665924,fine_tune,138
10,10,0.7809354485865838,0.857485033937557,0.4135085843949618,0.8761976043621224,fine_tune,139
11,11,0.7737171722921783,0.8598802423048876,0.3971893640781591,0.877694611563654,fine_tune,140
12,12,0.7771306777428724,0.8562874235792788,0.3962356923939939,0.8793413176508007,fine_tune,141
13,13,0.7666757621451052,0.8586826308758673,0.4025979850597367,0.8767964069714803,fine_tune,142
14,14,0.7684895729947233,0.8538922179958778,0.3805071550616604,0.8853293427450214,fine_tune,143
15,15,0.7669770367666633,0.8562874279336301,0.379245416418521,0.8838323351151929,fine_tune,144
16,16,0.7664980427947586,0.8562874263632083,0.37276597992031874,0.8853293411032168,fine_tune,145
17,17,0.7584847916742998,0.8574850300115026,0.37477803971997636,0.8781437120037878,fine_tune,146
18,18,0.7509704388722688,0.8562874209381149,0.36656007513537736,0.8898203599238824,fine_tune,147
19,19,0.7627703262660318,0.8562874279336301,0.3590998458425085,0.8884730534639187,fine_tune,148
20,20,0.7629717806499161,0.8574850264423621,0.33995947336811505,0.8917664653526809,fine_tune,149
21,21,0.7552529133722454,0.8562874245072554,0.3446038466549205,0.8958083837332126,fine_tune,150
22,22,0.7493736522997211,0.856287428718841,0.3292452707574396,0.8992514978625817,fine_tune,151
23,23,0.7360636984516761,0.8550898233573594,0.34434262235052215,0.8913173646270158,fine_tune,152
24,24,0.7309141277553078,0.8586826327318203,0.3358042545014334,0.8991017960502716,fine_tune,153
25,25,0.7349799944255166,0.8610778512355096,0.3311531722054867,0.8988023956378777,fine_tune,154
26,26,0.7371615831009642,0.8574850282983152,0.312360556967958,0.904191617908592,fine_tune,155
27,27,0.7361176995638602,0.8538922152119482,0.3093083711709091,0.9065868262045398,fine_tune,156
28,28,0.7397933967813046,0.8514970062021724,0.322100874219469,0.8992514947931209,fine_tune,157
29,29,0.7343872171140716,0.8550898191457736,0.2898485448546038,0.9088323351151929,fine_tune,158
30,30,0.7310995248263468,0.8574850350082991,0.2981328260443525,0.9065868266328366,fine_tune,159
31,31,0.7214983669940583,0.8550898239998046,0.31187583434501454,0.9022455094817156,fine_tune,160
32,32,0.7316361943404831,0.8526946119919508,0.280507788789308,0.9082335309354131,fine_tune,161
33,33,0.7294683958955868,0.8467065868977302,0.28680761911889574,0.9067365263750453,fine_tune,162
34,34,0.7238129700193862,0.8502993976998472,0.29084602125925935,0.9085329325613147,fine_tune,163
35,35,0.7208590907964878,0.8502994044098312,0.28725820114601874,0.9137724530911018,fine_tune,164
36,36,0.7175202217644561,0.8502994034818546,0.26301881451895853,0.9179640703572485,fine_tune,165
37,37,0.7266374849987601,0.8502994009834564,0.28548012724268934,0.911826348518897,fine_tune,166
